message,label,,
thank you for your participation. keep watching india 24x7 to win attractive prizes.,spam,,
"breeze through the week with uber. use code 'mumdec50' & enjoy 50% off (upto rs.50) on 10 ubergo/premier rides in mumbai, valid till 30 dec. get riding now!",spam,,
your offer expires tomorrow! use promo code eatsind100 in the uber eats app to get rs.100 off your first order and upto rs.150 in paytm cashback.nfull details and tnc: https://ubr.mobi/2dauxxv nget the uber eats app: https://ubr.mobi/2daugb3,spam,,
ho ho ho! your one-dollar-dish has arrived! awesome sandwiches & desserts for rs69 at uber eats mumbai. delivered at uber speed for re1. order now https://ubr.mobi/2bsaz2b,spam,,
"ride with uber every time you fly. get 50% off (upto rs 75) on your next uber ride to or from the airport. valid pan india till jan 7, 2018. use code flyuber50.",spam,,
50% off 10 non uberpool  rides! activate the offer in your uber app or enter promo code ride5vcb23. max. discount per ride is inr 50. https://ubr.mobi/2angcxi,spam,,
get rs.100 off your first order and upto rs.150 paytm cashback with uber eats! use promo code eatsind100 in the uber eats app to unlock.ndetails and tnc: https://ubr.mobi/2yhbyic nget uber eats: https://ubr.mobi/2yizde7,spam,,
your one-dollar-dish has arrived! phenomenal parathas at rs69 all weekend till 6pm at uber eats mumbai delivered at uber speed at re1 order now https://ubr.mobi/2ygyqsn,spam,,
"dear anindita, you're eligible for upto rs.150 paytm cashback with ubereats! ndetails: http://t.uber.com/paytm15#1cfbab53-ddfc-4b8f-9a59-3ef49f46786c norder now: http://t.uber.com/2eb#1cfbab53-ddfc-4b8f-9a59-3ef49f46786c",spam,,
"ride through the week. use code 'ride352ml7', if not applied, & enjoy 50% off (upto rs.50) on max. 10 non uberpool rides in mumbai. valid till 19 nov. t&c",spam,,
thank you for your participation. keep watching india 24x7 to win attractive prizes.,spam,,
inmein se kaunsa ek phal hai? a. seb b. beans call karein 543218 toll free aur jeeto soona ya bike,spam,,
inmein se kaunsa ek phal hai? a. seb b. beans call karein 543218 toll free aur jeeto soona ya bike,spam,,
dear narasingarao welcome to reliance 'my services'. your username is narasinga and  password is emi145,spam,,
dear narasingarao welcome to reliance 'my services'. your username is narasinga and  password is emi145,spam,,
dear narasingarao welcome to reliance 'my services'. your username is narasinga and  password is emi145,spam,,
dear narasingarao welcome to reliance 'my services'. your username is narasinga and  password is emi145,spam,,
salil n. sent you an invitation on linkedin. tap here to accept or unsub https://lnkd.in/egvuzzx,spam,,
"dear customer, while receiving international call, if local or std or no number displayed on your phone, please inform on toll free no.1800-110-420 or 1963",spam,,
dear customer get free access to erosnow and enjoy full movies. click http://scg.icl.in/wps/portal/wcg?a=havz17lw8fgbdal4ftz7ig==&b=a&c=777016073122551666690&e=n&f=imagine&h=20160731225516&j=naaeplknpaw5h/lx192x/a==&k=trqgbqlivjqwa+hg16eh4a==&n=0&o=null&q=wap&r=732839cd-691b-4c03-aa1a-f6ec221ada05,spam,,
"recharge done,benefit received.",spam,,
"recharge done(mrp:298, st+sbc+kkc:38.87, pf:259.13, tt:0), benefits recd:1.25 gb 3g + 1.25 gb 4g data validity:28 days balance:83.25",spam,,
"dear customer, while receiving international call, if local or std or no number displayed on your phone, please inform on toll free no.1800-110-420 or 1963",spam,,
"recharge done for rs.84 (pf:73.04, st+sbc+kkc:10.96, tt:0, benefits:local/std mobile calls: 1.8p/2sec, 40 days) current bal:212.04",spam,,
"recharge done,benefit received.",spam,,
"badhai ho! aapko mila he bonus 1 gb 4g internet ka fayda. 28 din. shandaar internet offer, call 12123 muft.
",spam,,
dear customer get free access to erosnow and enjoy full movies. click http://scg.icl.in/wps/portal/wcg?a=havz17lw8fgbdal4ftz7ig==&b=a&c=772916071211082987927&e=n&f=imagine&h=20160712110830&j=naaeplknpaw5h/lx192x/a==&k=trqgbqlivjqwa+hg16eh4a==&n=0&o=null&q=wap&r=fe98256a-c607-46e8-856d-2cd640fbd894,spam,,
"recharge done for rs.249 (pf:216.52, st+sbc+kkc:32.48, tt:0, benefits:1gb 4g data validity:28 days) current bal:228.96",spam,,
"recharge done for rs.249 (pf:216.52, st+sbc+kkc:32.48, tt:0, benefits:1gb 4g/3g/2g validity:28 days ) current bal:228.96",spam,,
please be cautious swhile responding to missed calls/smss from unknown international numbers to avoid being victim of fraud.,spam,,
pls be cautious while returning call/sms for mobile technical upgrade to avoid fraud and higher call chrgs. idea does not call/sms customers for such activities,spam,,
recharge now with customized internet packs for you. click www.ismartpacks.com to buy best offer,spam,,
salil n. sent you an invitation on linkedin. tap here to accept or unsub https://lnkd.in/egvuzzx,spam,,
"dear customer, while receiving international call, if local or std or no number displayed on your phone, please inform on toll free no.1800-110-420 or 1963",spam,,
dear customer get free access to erosnow and enjoy full movies. click http://scg.icl.in/wps/portal/wcg?a=havz17lw8fgbdal4ftz7ig==&b=a&c=777016073122551666690&e=n&f=imagine&h=20160731225516&j=naaeplknpaw5h/lx192x/a==&k=trqgbqlivjqwa+hg16eh4a==&n=0&o=null&q=wap&r=732839cd-691b-4c03-aa1a-f6ec221ada05,spam,,
"recharge done,benefit received.",spam,,
"recharge done(mrp:298, st+sbc+kkc:38.87, pf:259.13, tt:0), benefits recd:1.25 gb 3g + 1.25 gb 4g data validity:28 days balance:83.25",spam,,
"dear customer, while receiving international call, if local or std or no number displayed on your phone, please inform on toll free no.1800-110-420 or 1963",spam,,
"recharge done for rs.84 (pf:73.04, st+sbc+kkc:10.96, tt:0, benefits:local/std mobile calls: 1.8p/2sec, 40 days) current bal:212.04",spam,,
"recharge done,benefit received.",spam,,
"badhai ho! aapko mila he bonus 1 gb 4g internet ka fayda. 28 din. shandaar internet offer, call 12123 muft.
",spam,,
dear customer get free access to erosnow and enjoy full movies. click http://scg.icl.in/wps/portal/wcg?a=havz17lw8fgbdal4ftz7ig==&b=a&c=772916071211082987927&e=n&f=imagine&h=20160712110830&j=naaeplknpaw5h/lx192x/a==&k=trqgbqlivjqwa+hg16eh4a==&n=0&o=null&q=wap&r=fe98256a-c607-46e8-856d-2cd640fbd894,spam,,
"recharge done for rs.249 (pf:216.52, st+sbc+kkc:32.48, tt:0, benefits:1gb 4g data validity:28 days) current bal:228.96",spam,,
"recharge done for rs.249 (pf:216.52, st+sbc+kkc:32.48, tt:0, benefits:1gb 4g/3g/2g validity:28 days ) current bal:228.96",spam,,
please be cautious swhile responding to missed calls/smss from unknown international numbers to avoid being victim of fraud.,spam,,
pls be cautious while returning call/sms for mobile technical upgrade to avoid fraud and higher call chrgs. idea does not call/sms customers for such activities,spam,,
recharge now with customized internet packs for you. click www.ismartpacks.com to buy best offer,spam,,
dear narasingarao welcome to reliance 'my services'. your username is narasinga and  password is emi145,spam,,
dear narasingarao welcome to reliance 'my services'. your username is narasinga and  password is emi145,spam,,
thank you for your participation. keep watching india 24x7 to win attractive prizes.,spam,,
thank you for your participation. keep watching india 24x7 to win attractive prizes.,spam,,
dear narasingarao welcome to reliance 'my services'. your username is narasinga and  password is emi145,spam,,
dear narasingarao welcome to reliance 'my services'. your username is narasinga and  password is emi145,spam,,
dear narasingarao welcome to reliance 'my services'. your username is narasinga and  password is emi145,spam,,
dear narasingarao welcome to reliance 'my services'. your username is narasinga and  password is emi145,spam,,
"trai has launched the ""trai myspeed""app to test your download speed. the app could be downloaded from google play store or ios store.",spam,,
hi. are you happy with the help offered for your ticket no. 59158534. please reply with y or n to 55540 (tollfree),spam,,
"hi, your m-pesa account has been closed as of mon aug 01 13:36:54 ist 2016. please call us at 55400 (vodafone number) or 1800-123-55400 (non-vodafone number) for any help",spam,,
"dear customer, your idea mobile bill for 27-jul-16 is generated for an amount of rs250.21 with due date 11-aug-16 and your total outstanding amount is rs. 250.21 . you can view your bill online by logging into your account on our website www.ideacellular.com.",spam,,
"dear customer, your idea e-bill dated 27-jul-16 has been sent to kncharya@gmail.com with password  nars5202, for query dial 1214.",spam,,
"dear customer, your idea bill & unbill details are now online at my idea app click http://onelink.to/smsdl to access . we value ur association with idea.",spam,,
